Ch1 Amplitude,Ch2 Amplitude,Cluster
3251.46533,2619.30518,1
3251.64722,2684.70752,1
3251.67139,2757.87378,1
3251.68628,2546.35742,1
3251.94824,2842.13,1
3252.04688,2710.19458,1
3252.225,2536.973,1
3252.373,2595.88013,1
3252.617,2504.49561,1
3252.6272,2696.68481,1
3252.71118,2655.36377,1
3252.736,2511.57837,1
3252.74976,2721.434,1
3252.77856,2657.029,1
3252.95361,2650.776,1
3253.00439,2870.67188,1
3253.18042,2730.26978,1
3253.48755,2432.73413,1
3253.57935,2812.869,1
3253.71436,2721.49048,1
3253.89453,2671.51978,1
3253.978,6054.40137,4
3254.01074,2451.79565,1
3254.01416,2649.8728,1
3254.04248,2592.28613,1
3254.4917,2680.64478,1
3254.55859,2628.858,1
3254.58,2710.2063,1
3254.66479,2796.218,1
3254.792,2660.25317,1
3254.85083,2505.66113,1
3254.91162,2778.306,1
3254.91235,2459.90552,1
3254.94116,2674.12036,1
3254.992,2593.71924,1
3255.00464,2620.80347,1
3255.00757,2544.763,1
3255.15625,2642.92725,1
3255.25928,2644.69653,1
3255.26221,2667.903,1
3255.323,2436.97168,1
3255.496,2474.28516,1
3255.598,2503.35571,1
3255.61914,2659.45825,1
3255.65625,2636.76758,1
3255.69849,2717.68652,1
3255.71045,2568.10645,1
3255.75854,2552.60156,1
3256.06323,2659.68164,1
3256.151,2423.548,1
3256.1936,2604.316,1
3256.19385,2760.10913,1
3256.24854,2597.5874,1
3256.30322,2633.70166,1
3256.34766,2749.14,1
3256.34814,2580.56787,1
3256.428,2697.27563,1
3256.49414,2570.933,1
3256.54858,2583.194,1
3256.568,2691.02783,1
3256.831,2574.34644,1
3256.84619,2700.53,1
3257.35474,2707.94336,1
3257.40942,2571.986,1
3257.44116,2572.93848,1
3257.47559,2641.97021,1
3257.528,2626.42114,1
3257.55518,2693.34082,1
3257.623,2589.67065,1
3257.84155,2582.73364,1
3257.88379,2698.44629,1
3257.9502,2660.36279,1
3258.13623,2654.07739,1
3258.173,2589.99927,1
3258.17676,2571.05127,1
3258.18726,2663.93042,1
3258.18945,2688.19385,1
3258.26563,2609.952,1
3258.36279,2425.00635,1
3258.39429,2693.86841,1
3258.55518,2543.15137,1
3258.73071,2671.34668,1
3258.79419,2564.49561,1
3258.914,2515.9458,1
3258.96826,2639.61426,1
3258.982,2588.772,1
3259.352,2647.93677,1
3259.3833,2621.6333,1
3259.39136,2571.99951,1
3259.95166,2663.71362,1
3260.13965,2591.81372,1
3260.16235,2673.37354,1
3260.25684,2658.58252,1
3260.25854,2679.65771,1
3260.27173,2624.54272,1
3260.27246,2559.52783,1
3260.30469,2765.16113,1
3260.567,2627.81787,1
3260.82935,2703.95313,1
3260.905,2555.34351,1
3261.01978,2713.65942,1
3261.12769,2684.95068,1
